"DON'T NOD", Life is Strange 2
'ninja_muffin99', Friday Night Funkin'
'nuverse', Marvel Snap
'panstasz', World of Horror
'rose-engine', Signalis
'sprite', Aokana: Four Rhythms Across the Blue
'tinyBuild', Tinykin
'tobyfox', Deltarune: Chapter 2
'tri-Crescendo', Tales of Zestiria
Inc', The Witness
Inc. (SCEI)', God of War II
Inc.', The Binding of Isaac: Rebirth
Ltd.", WWE SmackDown vs. Raw 2008
Ltd.', Fire Emblem: Awakening
