2023-05-11 06:56:00,2023-05-11 06:57:00,TweetDeck,5
2023-05-11 06:56:00,2023-05-11 06:57:00,DenetPro,1
2023-05-11 06:48:30,2023-05-11 06:49:30,Twitter for Mac,1
2023-05-11 06:48:30,2023-05-11 06:49:30,Twitter for Android,97
2023-05-11 06:48:30,2023-05-11 06:49:30,Twitter for Advertisers,3
2023-05-11 06:48:30,2023-05-11 06:49:30,Hookle App,1
2023-05-11 06:48:30,2023-05-11 06:49:30,Instagram,1
2023-05-11 06:48:30,2023-05-11 06:49:30,Buffer,4
2023-05-11 06:48:30,2023-05-11 06:49:30,Twitter Media Studio,1
2023-05-11 06:48:30,2023-05-11 06:49:30,Twitter for iPhone,93
2023-05-11 06:48:30,2023-05-11 06:49:30,0
2023-05-11 06:48:30,2023-05-11 06:49:30,dlvr.it,1
2023-05-11 06:48:30,2023-05-11 06:49:30,Loomly,1
2023-05-11 06:48:30,2023-05-11 06:49:30,Constant Contact - Social Posts,1
2023-05-11 06:48:30,2023-05-11 06:49:30,HubSpot,1
2023-05-11 06:48:30,2023-05-11 06:49:30,Typefully,1
2023-05-11 06:48:30,2023-05-11 06:49:30,Slogover,2
2023-05-11 06:48:30,2023-05-11 06:49:30,LaterMedia,1
2023-05-11 06:48:30,2023-05-11 06:49:30,Planable,1
2023-05-11 06:48:30,2023-05-11 06:49:30, star players to watch | Miami Herald,1
2023-05-11 06:48:30,2023-05-11 06:49:30,Twitter Web App,146
2023-05-11 06:48:30,2023-05-11 06:49:30,SMMplanner,2
2023-05-11 06:48:30,2023-05-11 06:49:30,positive,1
2023-05-11 06:48:30,2023-05-11 06:49:30,TweetDeck,25
2023-05-11 06:48:30,2023-05-11 06:49:30,Sprout Social,2
2023-05-11 06:48:30,2023-05-11 06:49:30,Twittimer,1
2023-05-11 06:48:30,2023-05-11 06:49:30,Agorapulse app,2
2023-05-11 06:48:30,2023-05-11 06:49:30,Emplifi,2
2023-05-11 06:48:30,2023-05-11 06:49:30,Pallyy,1
2023-05-11 06:48:30,2023-05-11 06:49:30,Twitter for iPad,4
2023-05-11 06:48:30,2023-05-11 06:49:30,Cloud Campaign,1
2023-05-11 06:48:30,2023-05-11 06:49:30,Hootsuite Inc.,6
2023-05-11 06:48:30,2023-05-11 06:49:30,Qualtrics Social Connect,27
2023-05-11 06:48:30,2023-05-11 06:49:30,SocialFlow,1
2023-05-11 06:38:30,2023-05-11 06:39:30,0
2023-05-11 06:38:30,2023-05-11 06:39:30,TweetDeck,3
2023-05-11 06:38:30,2023-05-11 06:39:30,Twitter for Mac,1
2023-05-11 06:38:30,2023-05-11 06:39:30,Twittimer,1
2023-05-11 06:38:30,2023-05-11 06:39:30,Slogover,1
2023-05-11 06:38:30,2023-05-11 06:39:30,Twitter for Android,55
2023-05-11 06:38:30,2023-05-11 06:39:30,Twitter for iPad,1
2023-05-11 06:38:30,2023-05-11 06:39:30,Hootsuite Inc.,1
2023-05-11 06:38:30,2023-05-11 06:39:30,Instagram,2
2023-05-11 06:38:30,2023-05-11 06:39:30,Twitter Web App,48
2023-05-11 06:38:30,2023-05-11 06:39:30,Twitter for iPhone,55
2023-05-11 06:50:30,2023-05-11 06:51:30,Squarespace,1
2023-05-11 06:50:30,2023-05-11 06:51:30,Twitter Media Studio,8
2023-05-11 06:50:30,2023-05-11 06:51:30,Twitter for Android,1154
2023-05-11 06:50:30,2023-05-11 06:51:30,Twitter for Mac,1
